"","lat","lon","node","shortest","shortestD"
"1",43.20244218,-79.32615661,3886,2973,0.0354840199932883
"2",43.20244218,-79.32615661,3886,2973,0.0354840199932883
"3",43.22278,-79.44583,5498,3384,0.273359093097537
"4",43.22333,-79.44639,5498,2722,0.271371083110746
"5",43.22389,-79.44528,5498,3384,0.208347757912071
"6",43.22389,-79.44528,5498,3384,0.208347757912071
"7",43.2247,-79.2719,4064,3212,0.291347838427328
"8",43.2247,-79.2719,4064,3212,0.291347838427328
"9",43.2247,-79.2719,4064,3212,0.291347838427328
"10",43.2247,-79.2719,4064,3212,0.291347838427328
"11",43.22472,-79.27139,4064,3413,0.244476238438468
"12",43.22472,-79.27139,4064,3413,0.244476238438468
"13",43.22472,-79.27139,4064,3413,0.244476238438468
"14",43.224933,-79.272617,4064,3921,0.241651716275518
"15",43.225117,-79.271633,4064,3413,0.272138609941661
"16",43.22528,-79.27194,4064,3212,0.302978020996897
"17",43.22528,-79.27194,4064,3212,0.302978020996897
"18",43.22556,-79.27167,4064,3413,0.280279883101153
"19",43.22556,-79.27167,4064,3413,0.280279883101153
"20",43.22556,-79.27167,4064,3413,0.280279883101153
"21",43.22556,-79.27167,4064,3413,0.280279883101153
"22",43.23477,-77.53476,2,10042,0.108088540302554
"23",43.23477,-77.53476,2,10042,0.108088540302554
"24",43.23477,-77.53476,2,10042,0.108088540302554
"25",43.23477,-77.53476,2,10042,0.108088540302554
"26",43.23477,-77.53476,2,10042,0.108088540302554
"27",43.2398194,-79.5636496,6283,2942,0.150685023970131
"28",43.2398194,-79.5636496,6283,2942,0.150685023970131
"29",43.24994279,-79.25994111,4949,4391,0.163905675312461
"30",43.24994279,-79.25994111,4949,4391,0.163905675312461
"31",43.24994279,-79.25994111,4949,4391,0.163905675312461
"32",43.25144864,-77.53790759,28,11035,0.0912281505199585
"33",43.25144864,-77.53790759,28,11035,0.0912281505199585
"34",43.25472,-79.19472,4070,4253,0.0969765754825339
"35",43.25472,-79.19472,4070,4253,0.0969765754825339
"36",43.25472,-79.19472,4070,4253,0.0969765754825339
"37",43.255,-79.19472,4070,4253,0.102830367469617
"38",43.255,-79.19472,4070,4253,0.102830367469617
"39",43.255,-79.19472,4070,4253,0.102830367469617
"40",43.255,-79.19417,4070,4253,0.116972097990022
"41",43.25695,-77.60572,31,10517,0.0606163619568262
"42",43.25695,-77.60572,31,10517,0.0606163619568262
"43",43.25695,-77.60572,31,10517,0.0606163619568262
"44",43.25695,-77.60572,31,10517,0.0606163619568262
"45",43.25695,-77.60572,31,10517,0.0606163619568262
"46",43.2576,-77.5715,26,11331,0.136776192237683
"47",43.2576,-77.5715,26,11331,0.136776192237683
"48",43.2576,-77.5715,26,11331,0.136776192237683
"49",43.2576,-77.5715,26,11331,0.136776192237683
"50",43.25975797,-79.19928208,4597,4547,0.088778203204732
"51",43.25975797,-79.19928208,4597,4547,0.088778203204732
"52",43.26026917,-79.26380919,5133,4391,0.327551641214069
"53",43.26026917,-79.26380919,5133,4391,0.327551641214069
"54",43.26026917,-79.26380919,5133,4391,0.327551641214069
"55",43.26585,-77.43748,119,13262,0.11985050841744
"56",43.26585,-77.43748,119,13262,0.11985050841744
"57",43.26585,-77.43748,119,13262,0.11985050841744
"58",43.26585,-77.43748,119,13262,0.11985050841744
"59",43.26585,-77.43748,119,13262,0.11985050841744
"60",43.26585,-77.43748,119,13262,0.11985050841744
"61",43.26585,-77.43748,119,13262,0.11985050841744
"62",43.26714,-77.57052,61,12975,0.217561510462316
"63",43.26714,-77.57052,61,12975,0.217561510462316
"64",43.26714,-77.57052,61,12975,0.217561510462316
"65",43.26714,-77.57052,61,12975,0.217561510462316
"66",43.26778,-79.61972,7140,2932,0.359524652038106
"67",43.26778,-79.61972,7140,2932,0.359524652038106
"68",43.26778,-79.61972,7140,2932,0.359524652038106
"69",43.26778,-79.61972,7140,2932,0.359524652038106
"70",43.26778,-79.61972,7140,2932,0.359524652038106
"71",43.26806,-79.62111,7140,2698,0.227549362421148
"72",43.26806,-79.62111,7140,2698,0.227549362421148
"73",43.26806,-79.62111,7140,2698,0.227549362421148
"74",43.26806,-79.61944,7140,2932,0.381386660353391
"75",43.26806,-79.61944,7140,2932,0.381386660353391
"76",43.26806,-79.61944,7140,2932,0.381386660353391
"77",43.26806,-79.61944,7140,2932,0.381386660353391
"78",43.26806,-79.61944,7140,2932,0.381386660353391
"79",43.269,-77.4431,133,13274,0.0600865228057002
"80",43.269,-77.4431,133,13274,0.0600865228057002
"81",43.269,-77.4431,133,13274,0.0600865228057002
"82",43.269,-77.4431,133,13274,0.0600865228057002
"83",43.269,-77.4431,133,13274,0.0600865228057002
"84",43.269,-77.4431,133,13274,0.0600865228057002
"85",43.269,-77.4431,133,13274,0.0600865228057002
"86",43.269,-77.4431,133,13274,0.0600865228057002
"87",43.269,-77.4431,133,13274,0.0600865228057002
"88",43.27143,-77.44697,133,13560,0.0397025729644899
"89",43.27143,-77.44697,133,13560,0.0397025729644899
"90",43.27143,-77.44697,133,13560,0.0397025729644899
"91",43.27143,-77.44697,133,13560,0.0397025729644899
"92",43.27143,-77.44697,133,13560,0.0397025729644899
"93",43.27167,-79.36,5898,4385,0.295054207369942
"94",43.27194,-79.35972,5898,4385,0.264208822810068
"95",43.27361,-79.25278,5321,4672,0.0990018815842759
"96",43.27361,-79.25278,5321,4672,0.0990018815842759
"97",43.27389,-79.25167,5321,4672,0.183894087534945
"98",43.27389,-79.25167,5321,4672,0.183894087534945
"99",43.27472,-77.59083,84,12340,0.157960443439709
