FID_fvcomGrid_XYTableToPoint,lat,lng,node,TP_2018ltJuly1
139,43.29107285,-79.7901001,139,
140,43.33116913,-79.78018188,140,
141,43.31574249,-79.79321289,141,
142,43.31734848,-79.7923584,142,
143,43.31845856,-79.79055786,143,
144,43.31998825,-79.78826904,144,6.823312283
145,43.32087708,-79.78536987,145,6.823312283
146,43.32317734,-79.78448486,146,6.823312283
147,43.32539749,-79.78381348,147,
148,43.3274231,-79.78353882,148,
149,43.32875824,-79.78106689,149,
150,43.31441498,-79.79116821,150,
151,43.31257629,-79.78985596,151,
152,43.31066895,-79.78924561,152,
153,43.30883026,-79.78881836,153,6.521319866
154,43.30711746,-79.78848267,154,6.521319866
155,43.30551147,-79.78814697,155,6.521319866
156,43.30402756,-79.78823853,156,6.521319866
157,43.30280304,-79.78692627,157,6.521319866
158,43.29959106,-79.78622437,158,6.521319866
159,43.3012352,-79.7862854,159,6.521319866
160,43.29869843,-79.78460693,160,6.521319866
161,43.29602051,-79.78662109,161,6.257843018
162,43.29701614,-79.78491211,162,6.257843018
163,43.29442215,-79.7857666,163,6.257843018
164,43.29279327,-79.78649902,164,
165,43.29104614,-79.78756714,165,
166,43.28951645,-79.78909302,166,
167,43.33218384,-79.77798462,167,
168,43.32987213,-79.77838135,168,
169,43.3162384,-79.7901001,169,
170,43.31780243,-79.78839111,170,6.823312283
171,43.31861115,-79.78613281,171,6.823312283
172,43.3195343,-79.78335571,172,6.823312283
173,43.32185745,-79.78256226,173,6.823312283
174,43.32420349,-79.78182983,174,6.823312283
175,43.32650375,-79.78131104,175,
176,43.32761765,-79.77874756,176,
177,43.31432343,-79.78848267,177,
178,43.31222153,-79.78741455,178,
179,43.31013489,-79.78683472,179,
180,43.30815125,-79.78652954,180,6.521319866
181,43.30624771,-79.78634644,181,6.521319866
182,43.30436325,-79.78637695,182,6.521319866
183,43.30268097,-79.78479004,183,6.521319866
184,43.3006134,-79.78442383,184,6.521319866
185,43.29933167,-79.78262329,185,6.521319866
186,43.29735184,-79.78274536,186,6.257843018
187,43.29536057,-79.78356934,187,6.257843018
188,43.29315948,-79.78390503,188,6.257843018
189,43.29118729,-79.78485107,189,6.257843018
190,43.28937149,-79.78619385,190,
191,43.28781891,-79.78796387,191,
192,43.28594971,-79.78668213,192,
193,43.33333969,-79.77581787,193,
194,43.3310051,-79.77587891,194,
