Date,JulianDate,Latitude,Longitude,I_Index,J_Index,K_Index,Number_Layers,Sigma_Layer_Thickness,TP_ugL-1,Sample_Depth,Water_Depth,Source
5/21/2018,1526860800,43.36222,-78.72917,96,67,1,10,3.0324,6.5,2,30.324,ECCC
5/21/2018,1526860800,43.36222,-78.72917,96,67,9,10,3.0324,5.7,26.5,30.324,ECCC
4/8/2013,1365379200,43.36944,-79.06722,72,77,1,10,9.5395,6,1,95.395,ECCC
8/27/2013,1377561600,43.37,-79.06611,72,77,1,10,9.5395,10.4,1,95.395,ECCC
7/28/2018,1532736000,43.37306922,-78.60353708,106,57,2,10,1.6301,6.32,2,16.301,
7/28/2018,1532736000,43.37306922,-78.60353708,106,57,10,10,1.6301,5.86,16.6,16.301,
4/10/2018,1523318400,43.374733,-78.73015,97,71,1,10,6.0335,5.103,0,60.335,
8/14/2018,1534204800,43.375052,-78.730122,97,71,1,10,6.0335,4.096,0,60.335,
8/14/2018,1534204800,43.375052,-78.730122,97,71,9,10,6.0335,2.551,49.8,60.335,
8/16/2019,1565913600,43.375202,-78.728653,97,71,1,10,6.0335,3.376,0,60.335,
8/16/2019,1565913600,43.375202,-78.728653,97,71,6,10,6.0335,5.811,32.4,60.335,
5/20/2013,1369008000,43.37652,-77.89393,154,63,8,10,3.9879,3.4,30,39.879,LONNS_Makarewicz
6/17/2013,1371427200,43.37652,-77.89393,154,63,8,10,3.9879,16.8,30,39.879,LONNS_Makarewicz
7/23/2013,1374537600,43.37652,-77.89393,154,63,8,10,3.9879,6.6,30,39.879,LONNS_Makarewicz
8/20/2013,1376956800,43.37652,-77.89393,154,63,8,10,3.9879,8.3,30,39.879,LONNS_Makarewicz
9/18/2013,1379462400,43.37652,-77.89393,154,63,8,10,3.9879,7,30,39.879,LONNS_Makarewicz
8/16/2018,1534377600,43.38028,-77.29889,189,74,1,10,17.7701,5.9,1,177.701,ECCC
8/28/2013,1377648000,43.38167,-77.29833,189,74,1,10,17.7701,6.7,1,177.701,
8/28/2013,1377648000,43.38167,-77.29833,189,74,1,10,17.7701,6.7,1,177.701,
4/10/2013,1365552000,43.38194,-77.29806,189,74,1,10,17.7701,5.9,1,177.701,
4/17/2013,1366156800,43.38306,-79.28444,58,83,1,10,10.7756,5.1,1,107.756,ECCC
8/28/2013,1377648000,43.38306,-77.98972,148,60,1,10,1.9525,10.4,1,19.525,ECCC
8/28/2013,1377648000,43.38306,-77.98972,148,60,6,10,1.9525,6.6,10,19.525,ECCC
8/28/2013,1377648000,43.38306,-77.98972,148,60,9,10,1.9525,6.8,16.5,19.525,ECCC
5/20/2013,1369008000,43.3833,-77.9894,148,61,9,10,2.1032,7.443,17,21.032,LOLA2013
5/20/2013,1369008000,43.3833,-77.9894,148,61,3,10,2.1032,7,5,21.032,LOLA2013
5/20/2013,1369008000,43.3833,-77.9894,148,61,6,10,2.1032,5.4,12,21.032,LOLA2013
7/20/2013,1374278400,43.3833,-77.9894,148,61,8,10,2.1032,3.019,16,21.032,LOLA2013
7/20/2013,1374278400,43.3833,-77.9894,148,61,3,10,2.1032,3.649,5,21.032,LOLA2013
9/11/2013,1378857600,43.3833,-77.9894,148,61,3,10,2.1032,8.574,5,21.032,LOLA2013
9/11/2013,1378857600,43.3833,-77.9894,148,61,8,10,2.1032,7.644,16,21.032,LOLA2013
5/22/2018,1526947200,43.3833,-77.9894,148,61,3,10,2.1032,2.44,5.1,21.032,LOLA2013
5/22/2018,1526947200,43.3833,-77.9894,148,61,8,10,2.1032,3.62,16.2,21.032,LOLA2013
5/22/2018,1526947200,43.3833,-77.9894,148,61,8,10,2.1032,1.63,16.2,21.032,LOLA2013
9/27/2018,1538006400,43.3833,-77.9894,148,61,3,10,2.1032,6.02,6,21.032,LOLA2013
9/27/2018,1538006400,43.3833,-77.9894,148,61,8,10,2.1032,5.1,15,21.032,LOLA2013
5/24/2018,1527120000,43.38333,-79.285,58,83,6,10,10.7756,4.9,58,107.756,ECCC
4/9/2013,1365465600,43.38333,-77.98889,148,61,1,10,2.1032,9.2,1,21.032,ECCC
4/9/2013,1365465600,43.38333,-77.98889,148,61,5,10,2.1032,8.8,10,21.032,ECCC
4/9/2013,1365465600,43.38333,-77.98889,148,61,8,10,2.1032,8.9,16.5,21.032,ECCC
8/15/2018,1534291200,43.383453,-77.9893,148,61,1,10,2.1032,3.962,0,21.032,
4/10/2018,1523318400,43.383517,-77.989333,148,61,1,10,2.1032,7.63,0,21.032,
5/21/2013,1369094400,43.3836,-79.2853,58,83,1,10,10.7756,7.41,5,107.756,LOLA2013
